movie_title,domestic_total_gross,worldwide_total_gross,opening_weekend_rev,budget,runtime_minutes,IMDb_rating,time_between_sequel,sequel_worldwide_total_gross,Adventure,Animation,Biography,Comedy,Crime,Drama,Fantasy,Horror,Sci-Fi,Thriller,G,NC-17,PG,PG-13,R
Spider-Man,407022860.0,825025036.0,114844116.0,139000000.0,121.0,7.3,2.1602086285139324,788976453.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Spider-Man 2,373585825.0,788976453.0,88156227.0,200000000.0,127.0,7.3,2.841947473254071,894983373.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Matrix,171479930.0,465718867.0,27788331.0,63000000.0,136.0,8.7,4.123287952524692,741847937.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Matrix Reloaded,281576461.0,741847937.0,91774413.0,150000000.0,138.0,7.2,0.4763958192160003,427344277.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Lord of the Rings: The Fellowship of the Ring,315544750.0,887934994.0,47211490.0,93000000.0,178.0,8.8,0.9965981505438167,943282270.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Lord of the Rings: The Two Towers,342551365.0,943282270.0,62007528.0,94000000.0,179.0,8.7,0.9965981505438167,1142270989.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Back to the Future,211406762.0,388776253.0,11152500.0,19000000.0,116.0,8.5,4.388864932202578,335973020.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Back to the Future Part II,119000002.0,335973020.0,27835125.0,40000000.0,108.0,7.8,0.5037748892858854,246145853.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lethal Weapon,65207127.0,120207127.0,6829949.0,15000000.0,109.0,7.6,2.3381725839681855,227853986.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lethal Weapon 2,147253986.0,227853986.0,20388800.0,28000000.0,114.0,7.2,2.8556370082890137,321731527.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lethal Weapon 3,144731527.0,321731527.0,33243086.0,35000000.0,118.0,6.7,6.1520770447031765,285444603.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Die Hard,83519093.0,141482299.0,601851.0,28000000.0,132.0,8.2,1.952127695982806,240247433.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Die Hard 2,117540947.0,240247433.0,21744661.0,70000000.0,124.0,7.2,4.876212379446532,366236538.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Die Hard with a Vengeance,100012499.0,366236538.0,22162245.0,90000000.0,128.0,7.6,12.107024784903182,388156011.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mad Max,8750000.0,8771757.0,0.0,300000.0,88.0,6.9,2.1656844425279096,23667907.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mad Max 2: The Road Warrior,23667907.0,23667907.0,2527864.0,3000000.0,96.0,7.6,3.13764143000883,36230219.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rocky,117235147.0,117248937.0,18296255.889082506,960000.0,120.0,8.1,2.529826074457381,85187855.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Rocky II,85182160.0,85187855.0,6390537.0,7000000.0,119.0,7.3,2.951463753533611,125052686.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Rocky III,125049125.0,125052686.0,12431486.0,17000000.0,99.0,6.8,3.5017830619383012,300474985.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
First Blood,47212904.0,125212904.0,6642005.0,15000000.0,93.0,7.7,2.5818463075901628,300400432.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Terminator 2: Judgment Day,205881154.0,520884847.0,31765506.0,102000000.0,137.0,8.5,11.99750850462364,433371112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Terminator 3: Rise of the Machines,150371112.0,433371112.0,44041440.0,200000000.0,109.0,6.3,5.886500065025292,371353001.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RoboCop,53424681.0,53424681.0,8008721.0,13000000.0,102.0,7.5,2.932298404484692,45681173.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RoboCop 2,45681173.0,45681173.0,14145411.0,25000000.0,117.0,5.8,3.3731014326098414,10696210.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
X-Men,157299718.0,296339528.0,54471475.0,75000000.0,104.0,7.4,2.7981409611422547,407711549.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
xXx,142109382.0,277448382.0,44506103.0,70000000.0,124.0,5.9,2.7214795649465766,71022693.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Chronicles of Riddick,57761012.0,115900534.0,24289165.0,105000000.0,119.0,6.7,0.010951628027954031,217611052.39749402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Transporter 2,43095856.0,89083229.0,16540720.0,32000000.0,87.0,6.3,3.2334681752534276,108979549.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Crank,27838408.0,42931041.0,10457367.0,12000000.0,88.0,6.9,2.625652819701979,34572541.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alien,81765459.0,108110396.0,3527881.0,11000000.0,117.0,8.4,7.072013799051315,131387762.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
